Country Name,Country Code,Series,Series Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Ukraine,UKR,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,59686,199111,195612,183380,196226,197170,195181,184273,143343,110652,100077,101371,136260,102394,82175,219358,121387,129387,461232,521354,1290380
United Kingdom,GBR,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,8041,4091,26088,90,15484,95024,43699,78095,68120,70472,64029,11885,4433,2978,16211,20508,32122,32456,20987,12934,21345
